id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
500892,AFG-2023-1-17083-63,2023,true,Clear,1,333,333,Afghanistan: Government,17083,17083,Government of Afghanistan - AFF,130,130,Government of Afghanistan,8343,8343,AFF,4,"""AFF,2023-11-24,7 dead and wounded Taliban in the heart of Kabul!"";""Afghan Analyst on Twitter,2023-11-24,The Taliban confirmed the Kabul explosion, attributing it to a hand grenade attack, near a police check point, that resulted in no casualties."";""Tolo News,2023-11-24,The Kabul police command's spokesperson, Khalid Zadran, told TOLOnews that a hand grenade was thrown by unknown people at a water tanker near the checkpoint in Kote Sangi area of PD5 of Kabul city, which did not cause any casualties."";""Kabul Now,2023-11-24,Two Attacks Leave A Dozen Taliban Fatalities in Kabul""",AFF;Afghan Analyst on Twitter;Tolo News;Kabul Now,2023-11-24;2023-11-24;2023-11-24;2023-11-24,"7 dead and wounded Taliban in the heart of Kabul!;The Taliban confirmed the Kabul explosion, attributing it to a hand grenade attack, near a police check point, that resulted in no casualties.;The Kabul police command's spokesperson, Khalid Zadran, told TOLOnews that a hand grenade was thrown by unknown people at a water tanker near the checkpoint in Kote Sangi area of PD5 of Kabul city, which did not cause any casualties.;Two Attacks Leave A Dozen Taliban Fatalities in Kabul","AFF; Kabul police command's spokesperson, Khalid Zadran",1,Kabul city,"Toli Muzab in the 5th district of Taliban mercenaries located in Kote Sangi, Kabul",Kabul province,Kabul district,34.531094,69.162796,POINT (69.162796 34.531094),179779,Afghanistan,700,Asia,1,1,2023-11-24 00:00:00.000,2023-11-24 00:00:00.000,0,0,0,0,0,4,0,700,
500887,AFG-2023-1-17083-59,2023,true,Clear,1,333,333,Afghanistan: Government,17083,17083,Government of Afghanistan - AFF,130,130,Government of Afghanistan,8343,8343,AFF,1,"""AFF,2023-11-27,The fourth area""",AFF,2023-11-27,The fourth area,AFF,1,Kabul city,near the intersection of Salim Karwan located in the fourth security district of Kabul city,Kabul province,Kabul district,34.531094,69.162796,POINT (69.162796 34.531094),179779,Afghanistan,700,Asia,1,1,2023-11-27 00:00:00.000,2023-11-27 00:00:00.000,0,1,0,0,1,1,1,700,
501498,AFG-2023-1-17083-70,2023,true,Clear,1,333,333,Afghanistan: Government,17083,17083,Government of Afghanistan - AFF,130,130,Government of Afghanistan,8343,8343,AFF,1,"""AFF,2023-11-28,Baghlan (1)""",AFF,2023-11-28,Baghlan (1),AFF,1,Puli Khumri town,gate of the former Pul Khomri Intelligence Bureau (PRT),Baghlan province,Puli Khumri district,35.944583,68.715122,POINT (68.715122 35.944583),181218,Afghanistan,700,Asia,1,1,2023-11-28 00:00:00.000,2023-11-28 00:00:00.000,3,0,0,0,3,3,3,700,
502427,ANG-2023-1-1-XXX540-4,2023,false,Check dyad,1,XXX540,4,XXX540,1-XXX540,7,XXX540 - XXX540,XXX540,3599,XXX540,XXX540,3599,XXX540,1,"""Africa Research Bulletin,2023-12-11,Africa Research Bulletin: Political, Social and Cultural SeriesVolume 60, Issue 11""",Africa Research Bulletin,2023-12-11,"Africa Research Bulletin: Political, Social and Cultural SeriesVolume 60, Issue 11",,4,Kuando Kubango province,in[the southern province of] Cuando Cubango,Kuando Kubango province,,-16.000000,20.000000,POINT (20 -16),106961,Angola,540,Africa,2,5,2023-01-01 00:00:00.000,2023-11-01 00:00:00.000,0,0,0,21,21,21,21,,
501583,BEN-2023-1-16685-17,2023,false,Clear,1,15256,15256,Benin: Government,16685,16685,Government of Benin - JNIM,1209,1209,Government of Benin,6716,6716,JNIM,2,"""BBC Monitoring Africa,2023-11-10,Benin steps up operations against militants - report"";""International Crisis Group,2023-12-01,Benin November 2023""",BBC Monitoring Africa;International Crisis Group,2023-11-10;2023-12-01,Benin steps up operations against militants - report;Benin November 2023,the army,2,Porga town,near Porga,Atacora department,Matéri commune,11.050000,0.966667,POINT (0.966667 11.05),145802,Benin,434,Africa,1,1,2023-11-09 00:00:00.000,2023-11-09 00:00:00.000,0,1,0,0,1,1,1,434,
502813,BRA-2023-1-1-XXX140-148,2023,false,Check dyad,1,XXX140,22,XXX140,1-XXX140,43,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Infonet,2023-11-14,Operation ends with men dead and drug laboratory closed""",Infonet,2023-11-14,Operation ends with men dead and drug laboratory closed,Infonet,1,Lagarto town,Lagarto,Sergipe state,Lagarto municipality,-10.917220,-37.665640,POINT (-37.66564 -10.91722),114045,Brazil,140,Americas,1,1,2023-11-14 00:00:00.000,2023-11-14 00:00:00.000,0,2,0,0,2,2,2,,
503183,BRA-2023-2-2-XXX140-432,2023,false,Check,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Jornal Itaqui-Bacanga,2023-11-04,Homem é executado a tiros dentro de casa em São João Batista""",Jornal Itaqui-Bacanga,2023-11-04,Homem é executado a tiros dentro de casa em São João Batista,Jornal Itaqui-Bacanga,3,São João Batista municipality,"Quiá village, in the town of São João Batista/MA.",Maranhão state,São João Batista municipality,-3.008080,-44.815470,POINT (-44.81547 -3.00808),124831,Brazil,140,Americas,1,1,2023-11-01 00:00:00.000,2023-11-01 00:00:00.000,0,0,0,1,1,1,1,,
497413,BRA-2023-2-2-XXX140-389,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Enfoco,2023-11-04, Miliciano Nanan morre após troca de tiros na Zona Oeste """,Enfoco,2023-11-04,Miliciano Nanan morre após troca de tiros na Zona Oeste,Enfoco,1,Rio de Janeiro town,"Rua João Vinte e Três, João XXIII Complex, in Santa Cruz, rio de Janeiro/RJ.",Rio de Janeiro state,Rio de Janeiro municipality,-22.902780,-43.207500,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,2,2023-11-03 00:00:00.000,2023-11-04 00:00:00.000,1,0,0,1,2,2,2,,
499040,BRA-2023-2-2-XXX140-417,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""O Povo,2023-11-05,Casal é morto a tiros durante a madrugada em Senador Pompeu """,O Povo,2023-11-05,Casal é morto a tiros durante a madrugada em Senador Pompeu,O Povo,4,Ceará state,"in the Carcará neighborhood, in Senador Pompeu",Ceará state,,-5.000000,-40.000000,POINT (-40 -5),122681,Brazil,140,Americas,1,1,2023-11-05 00:00:00.000,2023-11-05 00:00:00.000,0,0,0,2,2,2,2,,
503571,BRA-2023-2-2-XXX140-441,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Portal Tucumã,2023-11-12,SHOCKING: Man is tortured and killed after attacking his wife in the north of Manaus""",Portal Tucumã,2023-11-12,SHOCKING: Man is tortured and killed after attacking his wife in the north of Manaus,Portal Tucumã,4,Amazonas state,city of Rio Preto da Eva.,Amazonas state,,-5.000000,-63.000000,POINT (-63 -5),122635,Brazil,140,Americas,1,1,2023-11-12 00:00:00.000,2023-11-12 00:00:00.000,0,0,0,2,2,2,2,,
503757,BRA-2023-2-2-XXX140-444,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Blog Waldiney Passos,2023-11-13,Homem é morto com tiro no rosto na Zona Rural de Araripina""",Blog Waldiney Passos,2023-11-13,Homem é morto com tiro no rosto na Zona Rural de Araripina,Blog Waldiney Passos,2,Araripina town,in a farm in the Rural Zone of Araripina,Pernambuco state,Araripina municipality,-7.576110,-40.498330,POINT (-40.49833 -7.57611),118360,Brazil,140,Americas,1,1,2023-11-12 00:00:00.000,2023-11-12 00:00:00.000,0,0,0,1,1,1,1,,
503158,BRA-2023-2-2-XXX140-428,2023,false,Check,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Folha BV,2023-11-14,https://www.folhabv.com.br/policia/corpo-enrolado-em-rede-e-encontrado-em-parque-de-vaquejada/""",Folha BV,2023-11-14,https://www.folhabv.com.br/policia/corpo-enrolado-em-rede-e-encontrado-em-parque-de-vaquejada/,Folha BV,4,Roraima state,municipality of São Luiz/RR.,Roraima state,,1.000000,-61.000000,POINT (-61 1),131279,Brazil,140,Americas,1,2,2023-11-13 00:00:00.000,2023-11-14 00:00:00.000,0,0,0,1,1,1,1,,
503236,BRA-2023-2-2-XXX140-434,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Enfoco,2023-11-17, Jovem de 21 anos é encontrado morto em mata na Zona Oeste do Rio """,Enfoco,2023-11-17,Jovem de 21 anos é encontrado morto em mata na Zona Oeste do Rio,Enfoco,1,Rio de Janeiro town,"In a wooded area on Jacarepaguá Road, Rio de Janeiro/RJ.",Rio de Janeiro state,Rio de Janeiro municipality,-22.902780,-43.207500,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,2,2023-11-14 00:00:00.000,2023-11-16 00:00:00.000,0,0,0,0,0,0,0,,
502547,BRA-2023-2-2-XXX140-426,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Bahia190,2023-11-16,Casal é assassinado na porta de casa em Feira de Santana""",Bahia190,2023-11-16,Casal é assassinado na porta de casa em Feira de Santana,Bahia190,1,Feira de Santana town,"in the George Américo complex, in Feira de Santana",Bahia state,Feira de Santana municipality,-12.266670,-38.966670,POINT (-38.96667 -12.26667),111883,Brazil,140,Americas,1,1,2023-11-15 00:00:00.000,2023-11-15 00:00:00.000,0,0,0,2,2,2,2,,
503238,BRA-2023-2-2-XXX140-435,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Enfoco,2023-11-17, Dois homens são assassinados dentro de clube no Rio """,Enfoco,2023-11-17,Dois homens são assassinados dentro de clube no Rio,Enfoco,1,Rio de Janeiro town,"At an evenT club located on Avenida Brasil, near number 322, in the Guadalupe neighborhood, Rio de Janeiro/RJ.",Rio de Janeiro state,Rio de Janeiro municipality,-22.902780,-43.207500,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,1,2023-11-17 00:00:00.000,2023-11-17 00:00:00.000,0,0,0,2,2,2,2,,
503258,BRA-2023-2-2-XXX140-436,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Portal da Tropical,2023-11-18,Mulher é morta a tiros no meio da rua na zona Norte de Natal""",Portal da Tropical,2023-11-18,Mulher é morta a tiros no meio da rua na zona Norte de Natal,Portal da Tropical,1,Natal town,"Pajuçara neighborhood, north of Natal/RN.",Rio Grande do Norte state,Natal municipality,-5.795000,-35.209440,POINT (-35.20944 -5.795),121250,Brazil,140,Americas,1,1,2023-11-17 00:00:00.000,2023-11-17 00:00:00.000,0,0,0,1,1,1,1,,
503762,BRA-2023-2-2-XXX140-445,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Blog Waldiney Passos,2023-11-20,Araripina registra dois assassinatos neste final de semana""",Blog Waldiney Passos,2023-11-20,Araripina registra dois assassinatos neste final de semana,Blog Waldiney Passos,1,Araripina town,"in Araripina, in the Alto da Boa Vista neighborhood",Pernambuco state,Araripina municipality,-7.576110,-40.498330,POINT (-40.49833 -7.57611),118360,Brazil,140,Americas,1,1,2023-11-19 00:00:00.000,2023-11-19 00:00:00.000,0,0,0,1,1,1,1,,
503159,BRA-2023-2-2-XXX140-429,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Folha BV,2023-11-22, Jovem é executado a tiros em Bonfim """,Folha BV,2023-11-22,Jovem é executado a tiros em Bonfim,Folha BV,1,Bonfim town,"13 de Maio neighborhood, in the municipality of Bonfim/RR.",Roraima state,Bonfim municipality,3.359720,-59.833330,POINT (-59.83333 3.35972),134161,Brazil,140,Americas,1,1,2023-11-22 00:00:00.000,2023-11-22 00:00:00.000,0,0,0,1,1,1,1,,
503548,BRA-2023-2-2-XXX140-440,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Portal Tucumã,2023-11-26,MYSTERY! Man is found dead on the AM-010 highway""",Portal Tucumã,2023-11-26,MYSTERY! Man is found dead on the AM-010 highway,Portal Tucumã,3,Manaus municipality,"kilometer 25 of the AM-010 highway, which connects Manaus to the municipality of Rio Preto da Eva, in the interior of Amazonas.",Amazonas state,Manaus municipality,-3.043610,-60.012820,POINT (-60.01282 -3.04361),124800,Brazil,140,Americas,1,1,2023-11-25 00:00:00.000,2023-11-25 00:00:00.000,0,0,0,1,1,1,1,,
503772,BRA-2023-2-2-XXX140-447,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Blog Waldiney Passos,2023-11-28,Homem é morto a tiros na porta de casa em Santa Maria da Boa Vista """,Blog Waldiney Passos,2023-11-28,Homem é morto a tiros na porta de casa em Santa Maria da Boa Vista,Blog Waldiney Passos,1,Santa Maria da Boa Vista town,"in the Santa Luzia neighborhood, in Santa Maria da Boa Vista",Pernambuco state,Santa Maria da Boa Vista municipality,-8.807780,-39.825560,POINT (-39.82556 -8.80778),116921,Brazil,140,Americas,1,1,2023-11-28 00:00:00.000,2023-11-28 00:00:00.000,0,0,0,1,1,1,1,,
503533,BRA-2023-2-2-XXX140-439,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""Portal Tucumã,2023-11-30,VIDEO: Young woman agonizes to death after being stabbed in a cafeteria in Amazonas""",Portal Tucumã,2023-11-30,VIDEO: Young woman agonizes to death after being stabbed in a cafeteria in Amazonas,Portal Tucumã,1,Itacoatiara town,city of Itacoatiara,Amazonas state,Itacoatiara municipality,-3.143060,-58.444170,POINT (-58.44417 -3.14306),124804,Brazil,140,Americas,1,1,2023-11-29 00:00:00.000,2023-11-29 00:00:00.000,0,0,1,0,1,1,1,,
503175,BRA-2023-2-2-XXX140-430,2023,false,Check dyad,2,2-XXX140,22,XXX140 - XXX140,2-XXX140,44,XXX140 - XXX140,XXX140,3617,XXX140,XXX140,3617,XXX140,1,"""RP50,2023-11-29,Homem é morto a tiros no Bairro Pedra Mole""",RP50,2023-11-29,Homem é morto a tiros no Bairro Pedra Mole,RP50,1,Teresina town,"Verde Lar neighborhood, in the Greater Pedra Mole area, east of Teresina/PI.",Piauí state,Teresina municipality,-5.089170,-42.801940,POINT (-42.80194 -5.08917),121955,Brazil,140,Americas,1,1,2023-11-29 00:00:00.000,2023-11-29 00:00:00.000,0,0,0,1,1,1,1,,
